lineup_size,team_name,lineup_player_ids,lineup_player_names,games_used,stint_count,possessions,sec_played,min_played,min_played_str,sec_per_game,min_per_game,min_per_game_str,PTS,PTS_per_game,PTS_per100,PTS_per36,PTS_allowed,PTS_allowed_per_game,PTS_allowed_per100,PTS_allowed_per36,FGA,FGA_per_game,FGA_per100,FGA_per36,FGM,FGM_per_game,FGM_per100,FGM_per36,2PA,2PA_per_game,2PA_per100,2PA_per36,2PM,2PM_per_game,2PM_per100,2PM_per36,3PA,3PA_per_game,3PA_per100,3PA_per36,3PM,3PM_per_game,3PM_per100,3PM_per36,FTA,FTA_per_game,FTA_per100,FTA_per36,FTM,FTM_per_game,FTM_per100,FTM_per36,ORB,ORB_per_game,ORB_per100,ORB_per36,DRB,DRB_per_game,DRB_per100,DRB_per36,ORB_allowed,ORB_allowed_per_game,ORB_allowed_per100,ORB_allowed_per36,DRB_allowed,DRB_allowed_per_game,DRB_allowed_per100,DRB_allowed_per36,TOV,TOV_per_game,TOV_per100,TOV_per36,AST,AST_per_game,AST_per100,AST_per36,STL,STL_per_game,STL_per100,STL_per36,BLK,BLK_per_game,BLK_per100,BLK_per36,Fouls,Fouls_per_game,Fouls_per100,Fouls_per36,FT_allowed,FT_allowed_per_game,FT_allowed_per100,FT_allowed_per36,ORtg,DRtg,NetRtg,PACE,PM_total,PM_per_game,PM_per100,MIN_total,MIN_per_game,eFG,TS,FG2_pct,FG3_pct,FT_pct,TOV_pct,AST_ratio,ORB_pct,DRB_pct,TRB_pct,STL_pct,BLK_pct,Foul_per_poss,FT_allowed_rate_per100,FT_rate
4,新北中信特攻,40|43|10877|10880,謝亞軒/林韋翰/阿巴西/內馬,1,47,59.0,808.25,13.47,13:28,808.25,13.47,13:28,33.0,33.0,55.93,88.19,14.0,14.0,23.73,37.41,27.0,27.0,45.76,72.16,15.0,15.0,25.42,40.09,20.0,20.0,33.9,53.45,13.0,13.0,22.03,34.74,7.0,7.0,11.86,18.71,2.0,2.0,3.39,5.34,1.0,1.0,1.69,2.67,1.0,1.0,1.69,2.67,6.0,6.0,10.17,16.03,5.0,5.0,8.47,13.36,5.0,5.0,8.47,13.36,11.0,11.0,18.64,29.4,3.0,3.0,5.08,8.02,8.0,8.0,13.56,21.38,1.0,1.0,1.69,2.67,2.0,2.0,3.39,5.34,5.0,5.0,8.47,13.36,1.0,1.0,1.69,2.67,55.93,23.73,32.2,105.12,19.0,19.0,32.2,13.47,13.47,0.59,0.6,0.65,0.29,1.0,0.1,0.53,0.35,0.5,0.41,1.69,3.39,0.08,1.69,0.04
4,新北中信特攻,40|43|10877|10881,謝亞軒/林韋翰/阿巴西/飛克,1,64,81.0,1106.54,18.44,18:27,1106.54,18.44,18:27,42.0,42.0,51.85,81.99,21.0,21.0,25.93,40.99,35.0,35.0,43.21,68.32,18.0,18.0,22.22,35.14,24.0,24.0,29.63,46.85,14.0,14.0,17.28,27.33,11.0,11.0,13.58,21.47,4.0,4.0,4.94,7.81,3.0,3.0,3.7,5.86,2.0,2.0,2.47,3.9,9.0,9.0,11.11,17.57,9.0,9.0,11.11,17.57,7.0,7.0,8.64,13.66,13.0,13.0,16.05,25.38,4.0,4.0,4.94,7.81,10.0,10.0,12.35,19.52,1.0,1.0,1.23,1.95,2.0,2.0,2.47,3.9,7.0,7.0,8.64,13.66,2.0,2.0,2.47,3.9,51.85,25.93,25.93,105.41,21.0,21.0,25.93,18.44,18.44,0.57,0.58,0.58,0.36,0.67,0.1,0.56,0.41,0.56,0.47,1.23,2.47,0.09,2.47,0.09
4,新北中信特攻,40|43|10880|10881,謝亞軒/林韋翰/內馬/飛克,1,47,59.0,808.25,13.47,13:28,808.25,13.47,13:28,33.0,33.0,55.93,88.19,14.0,14.0,23.73,37.41,27.0,27.0,45.76,72.16,15.0,15.0,25.42,40.09,20.0,20.0,33.9,53.45,13.0,13.0,22.03,34.74,7.0,7.0,11.86,18.71,2.0,2.0,3.39,5.34,1.0,1.0,1.69,2.67,1.0,1.0,1.69,2.67,6.0,6.0,10.17,16.03,5.0,5.0,8.47,13.36,5.0,5.0,8.47,13.36,11.0,11.0,18.64,29.4,3.0,3.0,5.08,8.02,8.0,8.0,13.56,21.38,1.0,1.0,1.69,2.67,2.0,2.0,3.39,5.34,5.0,5.0,8.47,13.36,1.0,1.0,1.69,2.67,55.93,23.73,32.2,105.12,19.0,19.0,32.2,13.47,13.47,0.59,0.6,0.65,0.29,1.0,0.1,0.53,0.35,0.5,0.41,1.69,3.39,0.08,1.69,0.04
4,新北中信特攻,40|10877|10880|10881,謝亞軒/阿巴西/內馬/飛克,1,55,67.0,944.35,15.74,15:44,944.35,15.74,15:44,39.0,39.0,58.21,89.2,16.0,16.0,23.88,36.6,31.0,31.0,46.27,70.91,18.0,18.0,26.87,41.17,23.0,23.0,34.33,52.61,16.0,16.0,23.88,36.6,8.0,8.0,11.94,18.3,2.0,2.0,2.99,4.57,1.0,1.0,1.49,2.29,1.0,1.0,1.49,2.29,6.0,6.0,8.96,13.72,6.0,6.0,8.96,13.72,5.0,5.0,7.46,11.44,13.0,13.0,19.4,29.73,3.0,3.0,4.48,6.86,9.0,9.0,13.43,20.59,1.0,1.0,1.49,2.29,2.0,2.0,2.99,4.57,6.0,6.0,8.96,13.72,1.0,1.0,1.49,2.29,58.21,23.88,34.33,102.17,23.0,23.0,34.33,15.74,15.74,0.61,0.62,0.7,0.25,1.0,0.09,0.5,0.32,0.55,0.4,1.49,2.99,0.09,1.49,0.03
4,新北中信特攻,43|10877|10880|10881,林韋翰/阿巴西/內馬/飛克,1,47,59.0,808.25,13.47,13:28,808.25,13.47,13:28,33.0,33.0,55.93,88.19,14.0,14.0,23.73,37.41,27.0,27.0,45.76,72.16,15.0,15.0,25.42,40.09,20.0,20.0,33.9,53.45,13.0,13.0,22.03,34.74,7.0,7.0,11.86,18.71,2.0,2.0,3.39,5.34,1.0,1.0,1.69,2.67,1.0,1.0,1.69,2.67,6.0,6.0,10.17,16.03,5.0,5.0,8.47,13.36,5.0,5.0,8.47,13.36,11.0,11.0,18.64,29.4,3.0,3.0,5.08,8.02,8.0,8.0,13.56,21.38,1.0,1.0,1.69,2.67,2.0,2.0,3.39,5.34,5.0,5.0,8.47,13.36,1.0,1.0,1.69,2.67,55.93,23.73,32.2,105.12,19.0,19.0,32.2,13.47,13.47,0.59,0.6,0.65,0.29,1.0,0.1,0.53,0.35,0.5,0.41,1.69,3.39,0.08,1.69,0.04
4,新北國王,24|28|29|34,蘇士軒/呂政儒/林書緯/沃許本,1,9,13.0,147.0,2.45,02:27,147.0,2.45,02:27,3.0,3.0,23.08,44.08,9.0,9.0,69.23,132.24,3.0,3.0,23.08,44.08,1.0,1.0,7.69,14.69,1.0,1.0,7.69,14.69,0.0,0.0,0.0,0.0,2.0,2.0,15.38,29.39,1.0,1.0,7.69,14.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.69,14.69,1.0,1.0,7.69,14.69,2.0,2.0,15.38,29.39,1.0,1.0,7.69,14.69,3.0,3.0,23.08,44.08,1.0,1.0,7.69,14.69,3.0,3.0,23.08,44.08,0.0,0.0,0.0,0.0,1.0,1.0,7.69,14.69,0.0,0.0,0.0,0.0,23.08,69.23,-46.15,127.35,-6.0,-6.0,-46.15,2.45,2.45,0.5,0.5,0.0,0.5,,0.5,1.0,0.5,0.33,0.4,23.08,0.0,0.08,0.0,0.0
4,新北國王,24|28|29|13029,蘇士軒/呂政儒/林書緯/杰倫,1,9,13.0,147.0,2.45,02:27,147.0,2.45,02:27,3.0,3.0,23.08,44.08,9.0,9.0,69.23,132.24,3.0,3.0,23.08,44.08,1.0,1.0,7.69,14.69,1.0,1.0,7.69,14.69,0.0,0.0,0.0,0.0,2.0,2.0,15.38,29.39,1.0,1.0,7.69,14.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.69,14.69,1.0,1.0,7.69,14.69,2.0,2.0,15.38,29.39,1.0,1.0,7.69,14.69,3.0,3.0,23.08,44.08,1.0,1.0,7.69,14.69,3.0,3.0,23.08,44.08,0.0,0.0,0.0,0.0,1.0,1.0,7.69,14.69,0.0,0.0,0.0,0.0,23.08,69.23,-46.15,127.35,-6.0,-6.0,-46.15,2.45,2.45,0.5,0.5,0.0,0.5,,0.5,1.0,0.5,0.33,0.4,23.08,0.0,0.08,0.0,0.0
4,新北國王,24|28|34|13029,蘇士軒/呂政儒/沃許本/杰倫,1,9,13.0,147.0,2.45,02:27,147.0,2.45,02:27,3.0,3.0,23.08,44.08,9.0,9.0,69.23,132.24,3.0,3.0,23.08,44.08,1.0,1.0,7.69,14.69,1.0,1.0,7.69,14.69,0.0,0.0,0.0,0.0,2.0,2.0,15.38,29.39,1.0,1.0,7.69,14.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.69,14.69,1.0,1.0,7.69,14.69,2.0,2.0,15.38,29.39,1.0,1.0,7.69,14.69,3.0,3.0,23.08,44.08,1.0,1.0,7.69,14.69,3.0,3.0,23.08,44.08,0.0,0.0,0.0,0.0,1.0,1.0,7.69,14.69,0.0,0.0,0.0,0.0,23.08,69.23,-46.15,127.35,-6.0,-6.0,-46.15,2.45,2.45,0.5,0.5,0.0,0.5,,0.5,1.0,0.5,0.33,0.4,23.08,0.0,0.08,0.0,0.0
4,新北國王,24|29|34|13029,蘇士軒/林書緯/沃許本/杰倫,1,29,36.0,483.38,8.06,08:03,483.38,8.06,08:03,11.0,11.0,30.56,49.15,18.0,18.0,50.0,80.43,13.0,13.0,36.11,58.09,5.0,5.0,13.89,22.34,9.0,9.0,25.0,40.22,4.0,4.0,11.11,17.87,4.0,4.0,11.11,17.87,1.0,1.0,2.78,4.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,8.33,13.41,5.0,5.0,13.89,22.34,3.0,3.0,8.33,13.41,5.0,5.0,13.89,22.34,5.0,5.0,13.89,22.34,1.0,1.0,2.78,4.47,5.0,5.0,13.89,22.34,0.0,0.0,0.0,0.0,4.0,4.0,11.11,17.87,1.0,1.0,2.78,4.47,30.56,50.0,-19.44,107.24,-7.0,-7.0,-19.44,8.06,8.06,0.42,0.42,0.44,0.25,,0.28,0.2,0.38,0.62,0.5,13.89,0.0,0.11,2.78,0.0
4,新北國王,28|29|34|13029,呂政儒/林書緯/沃許本/杰倫,1,15,20.0,239.0,3.98,03:59,239.0,3.98,03:59,5.0,5.0,25.0,45.19,12.0,12.0,60.0,108.45,5.0,5.0,25.0,45.19,1.0,1.0,5.0,9.04,2.0,2.0,10.0,18.08,0.0,0.0,0.0,0.0,3.0,3.0,15.0,27.11,1.0,1.0,5.0,9.04,2.0,2.0,10.0,18.08,2.0,2.0,10.0,18.08,2.0,2.0,10.0,18.08,2.0,2.0,10.0,18.08,2.0,2.0,10.0,18.08,3.0,3.0,15.0,27.11,4.0,4.0,20.0,36.15,1.0,1.0,5.0,9.04,4.0,4.0,20.0,36.15,0.0,0.0,0.0,0.0,2.0,2.0,10.0,18.08,0.0,0.0,0.0,0.0,25.0,60.0,-35.0,120.5,-7.0,-7.0,-35.0,3.98,3.98,0.3,0.43,0.0,0.33,1.0,0.4,1.0,0.4,0.5,0.44,20.0,0.0,0.1,0.0,0.4
