lineup_size,team_name,lineup_player_ids,lineup_player_names,games_used,stint_count,possessions,sec_played,min_played,min_played_str,sec_per_game,min_per_game,min_per_game_str,PTS,PTS_per_game,PTS_per100,PTS_per36,PTS_allowed,PTS_allowed_per_game,PTS_allowed_per100,PTS_allowed_per36,FGA,FGA_per_game,FGA_per100,FGA_per36,FGM,FGM_per_game,FGM_per100,FGM_per36,2PA,2PA_per_game,2PA_per100,2PA_per36,2PM,2PM_per_game,2PM_per100,2PM_per36,3PA,3PA_per_game,3PA_per100,3PA_per36,3PM,3PM_per_game,3PM_per100,3PM_per36,FTA,FTA_per_game,FTA_per100,FTA_per36,FTM,FTM_per_game,FTM_per100,FTM_per36,ORB,ORB_per_game,ORB_per100,ORB_per36,DRB,DRB_per_game,DRB_per100,DRB_per36,ORB_allowed,ORB_allowed_per_game,ORB_allowed_per100,ORB_allowed_per36,DRB_allowed,DRB_allowed_per_game,DRB_allowed_per100,DRB_allowed_per36,TOV,TOV_per_game,TOV_per100,TOV_per36,AST,AST_per_game,AST_per100,AST_per36,STL,STL_per_game,STL_per100,STL_per36,BLK,BLK_per_game,BLK_per100,BLK_per36,Fouls,Fouls_per_game,Fouls_per100,Fouls_per36,FT_allowed,FT_allowed_per_game,FT_allowed_per100,FT_allowed_per36,ORtg,DRtg,NetRtg,PACE,PM_total,PM_per_game,PM_per100,MIN_total,MIN_per_game,eFG,TS,FG2_pct,FG3_pct,FT_pct,TOV_pct,AST_ratio,ORB_pct,DRB_pct,TRB_pct,STL_pct,BLK_pct,Foul_per_poss,FT_allowed_rate_per100,FT_rate
5,新北國王,21|24|29|34|13029,李愷諺/蘇士軒/林書緯/沃許本/杰倫,1,43,47.0,732.69,12.21,12:13,732.69,12.21,12:13,19.0,19.0,40.43,56.01,23.0,23.0,48.94,67.8,22.0,22.0,46.81,64.86,8.0,8.0,17.02,23.58,15.0,15.0,31.91,44.22,7.0,7.0,14.89,20.64,7.0,7.0,14.89,20.64,1.0,1.0,2.13,2.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.26,5.9,12.0,12.0,25.53,35.38,2.0,2.0,4.26,5.9,10.0,10.0,21.28,29.48,1.0,1.0,2.13,2.95,5.0,5.0,10.64,14.74,1.0,1.0,2.13,2.95,2.0,2.0,4.26,5.9,1.0,1.0,2.13,2.95,1.0,1.0,2.13,2.95,40.43,48.94,-8.51,92.37,-4.0,-4.0,-8.51,12.21,12.21,0.39,0.43,0.47,0.14,,0.04,0.62,0.17,0.86,0.54,2.13,4.26,0.02,2.13,0.0
5,新北中信特攻,40|43|10877|10880|10881,謝亞軒/林韋翰/阿巴西/內馬/飛克,2,77,83.0,1336.78,22.28,22:17,668.39,11.14,11:08,43.0,21.5,51.81,69.48,45.0,22.5,54.22,72.71,33.0,16.5,39.76,53.32,18.0,9.0,21.69,29.08,16.0,8.0,19.28,25.85,11.0,5.5,13.25,17.77,17.0,8.5,20.48,27.47,7.0,3.5,8.43,11.31,3.0,1.5,3.61,4.85,1.0,0.5,1.2,1.62,2.0,1.0,2.41,3.23,16.0,8.0,19.28,25.85,1.0,0.5,1.2,1.62,16.0,8.0,19.28,25.85,7.0,3.5,8.43,11.31,15.0,7.5,18.07,24.24,5.0,2.5,6.02,8.08,1.0,0.5,1.2,1.62,8.0,4.0,9.64,12.93,2.0,1.0,2.41,3.23,51.81,54.22,-2.41,89.41,-2.0,-1.0,-2.41,22.28,11.14,0.65,0.63,0.69,0.41,0.33,0.17,0.83,0.11,0.94,0.51,6.02,1.2,0.1,2.41,0.09
5,新北中信特攻,40|43|8889|10877|10880,謝亞軒/林韋翰/馬可/阿巴西/內馬,2,78,95.0,1233.44,20.56,20:33,616.72,10.28,10:17,35.0,17.5,36.84,61.29,45.0,22.5,47.37,78.8,40.0,20.0,42.11,70.05,14.0,7.0,14.74,24.52,22.0,11.0,23.16,38.53,11.0,5.5,11.58,19.26,18.0,9.0,18.95,31.52,3.0,1.5,3.16,5.25,5.0,2.5,5.26,8.76,4.0,2.0,4.21,7.0,9.0,4.5,9.47,15.76,17.0,8.5,17.89,29.77,5.0,2.5,5.26,8.76,15.0,7.5,15.79,26.27,5.0,2.5,5.26,8.76,6.0,3.0,6.32,10.51,1.0,0.5,1.05,1.75,1.0,0.5,1.05,1.75,10.0,5.0,10.53,17.51,4.0,2.0,4.21,7.0,36.84,47.37,-10.53,110.91,-10.0,-5.0,-10.53,20.56,10.28,0.39,0.41,0.5,0.17,0.8,0.11,0.43,0.38,0.77,0.57,1.05,1.05,0.11,4.21,0.12
5,新北國王,21|24|34|10874|13029,李愷諺/蘇士軒/沃許本/熊祥泰/杰倫,1,12,12.0,215.0,3.58,03:35,215.0,3.58,03:35,7.0,7.0,58.33,70.33,7.0,7.0,58.33,70.33,4.0,4.0,33.33,40.19,4.0,4.0,33.33,40.19,3.0,3.0,25.0,30.14,3.0,3.0,25.0,30.14,1.0,1.0,8.33,10.05,1.0,1.0,8.33,10.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,25.0,30.14,1.0,1.0,8.33,10.05,1.0,1.0,8.33,10.05,0.0,0.0,0.0,0.0,1.0,1.0,8.33,10.05,0.0,0.0,0.0,0.0,58.33,58.33,0.0,80.37,0.0,0.0,0.0,3.58,3.58,1.12,0.88,1.0,1.0,,0.43,0.25,,,,8.33,0.0,0.08,0.0,0.0
5,新北中信特攻,40|43|8889|10877|10881,謝亞軒/林韋翰/馬可/阿巴西/飛克,2,31,38.0,496.16,8.27,08:16,248.08,4.13,04:08,15.0,7.5,39.47,65.3,14.0,7.0,36.84,60.95,16.0,8.0,42.11,69.66,5.0,2.5,13.16,21.77,6.0,3.0,15.79,26.12,4.0,2.0,10.53,17.41,10.0,5.0,26.32,43.53,1.0,0.5,2.63,4.35,2.0,1.0,5.26,8.71,2.0,1.0,5.26,8.71,5.0,2.5,13.16,21.77,6.0,3.0,15.79,26.12,1.0,0.5,2.63,4.35,4.0,2.0,10.53,17.41,4.0,2.0,10.53,17.41,4.0,2.0,10.53,17.41,2.0,1.0,5.26,8.71,0.0,0.0,0.0,0.0,5.0,2.5,13.16,21.77,4.0,2.0,10.53,17.41,39.47,36.84,2.63,110.29,1.0,0.5,2.63,8.27,4.13,0.34,0.44,0.67,0.1,1.0,0.19,0.8,0.56,0.86,0.69,5.26,0.0,0.13,10.53,0.12
5,新北國王,24|34|10872|10874|13029,蘇士軒/沃許本/林彥廷/熊祥泰/杰倫,1,4,5.0,72.0,1.2,01:12,72.0,1.2,01:12,3.0,3.0,60.0,90.0,1.0,1.0,20.0,30.0,2.0,2.0,40.0,60.0,1.0,1.0,20.0,30.0,1.0,1.0,20.0,30.0,0.0,0.0,0.0,0.0,1.0,1.0,20.0,30.0,1.0,1.0,20.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,20.0,30.0,1.0,1.0,20.0,30.0,1.0,1.0,20.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,40.0,60.0,60.0,20.0,40.0,100.0,2.0,2.0,40.0,1.2,1.2,0.75,0.75,0.0,1.0,,0.0,0.0,0.0,0.5,0.33,0.0,0.0,0.0,40.0,0.0
5,新北中信特攻,39|40|8889|10877|10881,魏嘉豪/謝亞軒/馬可/阿巴西/飛克,1,2,3.0,36.0,0.6,00:36,36.0,0.6,00:36,1.0,1.0,33.33,60.0,3.0,3.0,100.0,180.0,1.0,1.0,33.33,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,33.33,60.0,0.0,0.0,0.0,0.0,2.0,2.0,66.67,120.0,1.0,1.0,33.33,60.0,1.0,1.0,33.33,60.0,1.0,1.0,33.33,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,33.33,60.0,0.0,0.0,0.0,0.0,33.33,100.0,-66.67,120.0,-2.0,-2.0,-66.67,0.6,0.6,0.0,0.27,,0.0,0.5,0.0,,1.0,1.0,1.0,0.0,0.0,0.33,0.0,2.0
5,新北中信特攻,39|8889|10877|10879|10881,魏嘉豪/馬可/阿巴西/簡廷兆/飛克,1,8,9.0,131.0,2.18,02:11,131.0,2.18,02:11,2.0,2.0,22.22,32.98,5.0,5.0,55.56,82.44,3.0,3.0,33.33,49.47,1.0,1.0,11.11,16.49,3.0,3.0,33.33,49.47,1.0,1.0,11.11,16.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,22.22,32.98,0.0,0.0,0.0,0.0,3.0,3.0,33.33,49.47,1.0,1.0,11.11,16.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,11.11,16.49,22.22,55.56,-33.33,98.93,-3.0,-3.0,-33.33,2.18,2.18,0.33,0.33,0.33,,,0.25,0.0,0.0,1.0,0.4,0.0,0.0,0.0,11.11,0.0
5,新北國王,32|34|10872|10874|13029,奧帝/沃許本/林彥廷/熊祥泰/杰倫,1,6,7.0,95.0,1.58,01:35,95.0,1.58,01:35,5.0,5.0,71.43,113.68,2.0,2.0,28.57,45.47,3.0,3.0,42.86,68.21,2.0,2.0,28.57,45.47,1.0,1.0,14.29,22.74,1.0,1.0,14.29,22.74,2.0,2.0,28.57,45.47,1.0,1.0,14.29,22.74,1.0,1.0,14.29,22.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,28.57,45.47,0.0,0.0,0.0,0.0,2.0,2.0,28.57,45.47,0.0,0.0,0.0,0.0,1.0,1.0,14.29,22.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,28.57,45.47,0.0,0.0,0.0,0.0,71.43,28.57,42.86,106.11,3.0,3.0,42.86,1.58,1.58,0.83,0.73,1.0,0.5,0.0,0.0,0.5,0.0,1.0,0.5,0.0,0.0,0.29,0.0,0.33
5,新北國王,29|32|34|10872|10874,林書緯/奧帝/沃許本/林彥廷/熊祥泰,1,16,19.0,242.17,4.04,04:02,242.17,4.04,04:02,11.0,11.0,57.89,98.11,8.0,8.0,42.11,71.36,7.0,7.0,36.84,62.44,5.0,5.0,26.32,44.6,5.0,5.0,26.32,44.6,4.0,4.0,21.05,35.68,2.0,2.0,10.53,17.84,1.0,1.0,5.26,8.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.26,8.92,2.0,2.0,10.53,17.84,4.0,4.0,21.05,35.68,1.0,1.0,5.26,8.92,1.0,1.0,5.26,8.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,10.53,17.84,57.89,42.11,15.79,112.98,3.0,3.0,15.79,4.04,4.04,0.79,0.79,0.8,0.5,,0.12,0.2,0.0,0.33,0.14,0.0,0.0,0.0,10.53,0.0
5,新北中信特攻,39|43|8889|10879|10881,魏嘉豪/林韋翰/馬可/簡廷兆/飛克,1,3,4.0,76.0,1.27,01:16,76.0,1.27,01:16,0.0,0.0,0.0,0.0,5.0,5.0,125.0,142.11,2.0,2.0,50.0,56.84,0.0,0.0,0.0,0.0,1.0,1.0,25.0,28.42,0.0,0.0,0.0,0.0,1.0,1.0,25.0,28.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,25.0,28.42,1.0,1.0,25.0,28.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,25.0,28.42,0.0,0.0,0.0,0.0,0.0,125.0,-125.0,75.79,-5.0,-5.0,-125.0,1.27,1.27,0.0,0.0,0.0,0.0,,0.0,,1.0,1.0,1.0,0.0,0.0,0.25,0.0,0.0
5,新北中信特攻,39|44|113|8889|10881,魏嘉豪/黃泓瀚/林任鴻/馬可/飛克,1,1,1.0,0.17,0.0,00:00,0.17,0.0,00:00,2.0,2.0,200.0,26024.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,200.0,26024.1,2.0,2.0,200.0,26024.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,200.0,8674.7,2.0,2.0,200.0,0.0,0.0,,1.14,,,1.0,0.0,,,,,0.0,0.0,0.0,0.0,
5,新北國王,29|32|10872|10874|13029,林書緯/奧帝/林彥廷/熊祥泰/杰倫,3,5,6.0,111.26,1.85,01:51,37.09,0.62,00:37,0.0,0.0,0.0,0.0,3.0,1.0,50.0,58.24,4.0,1.33,66.67,77.65,1.0,0.33,16.67,19.41,2.0,0.67,33.33,38.83,1.0,0.33,16.67,19.41,2.0,0.67,33.33,38.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.67,33.33,38.83,0.0,0.0,0.0,0.0,1.0,0.33,16.67,19.41,0.0,0.0,0.0,0.0,1.0,0.33,16.67,19.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.67,33.33,38.83,2.0,0.67,33.33,38.83,0.0,50.0,-50.0,77.65,-3.0,-1.0,-50.0,1.85,0.62,0.25,0.0,0.5,0.0,,0.0,1.0,0.0,1.0,0.67,0.0,0.0,0.33,33.33,0.0
5,新北中信特攻,39|44|47|113|10881,魏嘉豪/黃泓瀚/曾文鼎/林任鴻/飛克,1,1,2.0,23.0,0.38,00:23,23.0,0.38,00:23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0,93.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0,93.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0,93.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.22,0.0,0.0,0.0,0.38,0.38,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
5,新北國王,24|29|34|10872|13029,蘇士軒/林書緯/沃許本/林彥廷/杰倫,1,17,20.0,272.6,4.54,04:33,272.6,4.54,04:33,8.0,8.0,40.0,63.39,12.0,12.0,60.0,95.08,7.0,7.0,35.0,55.47,3.0,3.0,15.0,23.77,4.0,4.0,20.0,31.69,1.0,1.0,5.0,7.92,3.0,3.0,15.0,23.77,2.0,2.0,10.0,15.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,25.0,39.62,2.0,2.0,10.0,15.85,4.0,4.0,20.0,31.69,2.0,2.0,10.0,15.85,2.0,2.0,10.0,15.85,2.0,2.0,10.0,15.85,0.0,0.0,0.0,0.0,2.0,2.0,10.0,15.85,5.0,5.0,25.0,39.62,40.0,60.0,-20.0,105.65,-4.0,-4.0,-20.0,4.54,4.54,0.57,0.57,0.25,0.67,,0.22,0.67,0.0,0.71,0.45,10.0,0.0,0.1,25.0,0.0
5,新北國王,21|24|29|32|13029,李愷諺/蘇士軒/林書緯/奧帝/杰倫,3,94,117.0,1594.97,26.58,26:35,531.66,8.86,08:52,47.0,15.67,40.17,63.65,45.0,15.0,38.46,60.94,42.0,14.0,35.9,56.88,18.0,6.0,15.38,24.38,20.0,6.67,17.09,27.09,10.0,3.33,8.55,13.54,22.0,7.33,18.8,29.79,8.0,2.67,6.84,10.83,5.0,1.67,4.27,6.77,3.0,1.0,2.56,4.06,4.0,1.33,3.42,5.42,21.0,7.0,17.95,28.44,13.0,4.33,11.11,17.61,21.0,7.0,17.95,28.44,6.0,2.0,5.13,8.13,12.0,4.0,10.26,16.25,3.0,1.0,2.56,4.06,0.0,0.0,0.0,0.0,14.0,4.67,11.97,18.96,18.0,6.0,15.38,24.38,40.17,38.46,1.71,105.63,2.0,0.67,1.71,26.58,8.86,0.52,0.53,0.5,0.36,0.6,0.12,0.67,0.16,0.62,0.42,2.56,0.0,0.12,15.38,0.12
